Date,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2022-12-06,苹果健康,3858.0,109.4,2377.0,0.0
2022-12-07,苹果健康,6486.0,177.8,4266.0,0.0
2022-12-08,苹果健康,5106.0,163.5,3538.0,0.0
2022-12-09,苹果健康,4471.0,119.5,2769.0,0.0
2022-12-10,苹果健康,33646.0,901.8,21627.0,0.0
2022-12-11,苹果健康,4956.0,139.8,3252.0,0.0
2022-12-12,苹果健康,7097.0,211.4,4714.0,0.0
2022-12-13,苹果健康,13820.0,388.0,9326.0,0.0
2022-12-14,苹果健康,9422.0,271.7,6331.0,0.0
2022-12-15,苹果健康,18.0,0.0,12.0,0.0
2022-12-16,苹果健康,90.0,0.5,50.0,0.0
2022-12-17,苹果健康,583.0,13.4,368.0,0.0
2022-12-18,苹果健康,580.0,8.9,369.0,0.0
2022-12-19,苹果健康,8192.0,234.6,5567.0,0.0
2022-12-20,苹果健康,81.0,0.1,43.0,0.0
2022-12-21,苹果健康,7051.0,191.8,4683.0,0.0
2022-12-22,苹果健康,13089.0,405.3,8731.0,0.0
2022-12-23,苹果健康,11378.0,327.9,7702.0,0.0
2022-12-24,苹果健康,10215.0,334.0,7006.0,0.0
2022-12-25,苹果健康,13951.0,446.6,9888.0,0.0
2022-12-26,苹果健康,3218.0,77.9,1945.0,0.0
2022-12-27,苹果健康,5009.0,130.0,3199.0,0.0
2022-12-28,苹果健康,6973.0,201.9,4589.0,0.0
2022-12-29,苹果健康,7476.0,206.0,4925.0,0.0
2022-12-30,苹果健康,5607.0,152.9,3799.0,0.0
2022-12-31,苹果健康,3505.0,69.8,2010.0,0.0
2023-01-01,苹果健康,7658.0,156.3,4647.0,0.0
2023-01-02,苹果健康,9833.0,227.4,6100.0,0.0
2023-01-03,苹果健康,9229.0,232.0,5900.0,0.0
2023-01-04,苹果健康,4255.0,127.0,2873.0,0.0
2023-01-05,苹果健康,3360.0,91.2,2057.0,0.0
2023-01-06,苹果健康,12403.0,342.4,8173.0,0.0
2023-01-07,苹果健康,7173.0,163.0,4499.0,0.0
2023-01-08,苹果健康,11368.0,257.5,6620.0,0.0
2023-01-09,苹果健康,8191.0,234.5,5343.0,0.0
2023-01-10,苹果健康,5993.0,184.0,4147.0,0.0
2023-01-11,苹果健康,6106.0,159.3,3964.0,0.0
